compound_id,docking_score_kcal_mol,tanimoto_to_reference,smiles,fingerprint_method,pocket,source_file,valid_smiles,canonical_smiles,desalted_smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,source_database,passes_lipinski_light
CHEMBL3306562,-7.338,0.75,c1c2c(cc3c1cccc3)c(c(c(=O)o2)C#N)O,Avalon,BP1,BP1_candidates.xlsx,True,N#Cc1c(O)c2cc3ccccc3cc2oc1=O,N#Cc1c(O)c2cc3ccccc3cc2oc1=O,237.214,2.523,1,4,74.23,0,18,ChEMBL23,True
CHEMBL1929523,-7.388,0.6,c1ccc2c(c1)c1c(o2)ccc2c1ccc(=O)o2,FCFP,BP1,BP1_candidates.xlsx,True,O=c1ccc2c(ccc3oc4ccccc4c32)o1,O=c1ccc2c(ccc3oc4ccccc4c32)o1,236.226,3.692,0,3,43.35,0,18,ChEMBL23,True
CHEMBL1929523,-7.388,0.516,c1ccc2c(c1)c1c(o2)ccc2c1ccc(=O)o2,Morgan,BP1,BP1_candidates.xlsx,True,O=c1ccc2c(ccc3oc4ccccc4c32)o1,O=c1ccc2c(ccc3oc4ccccc4c32)o1,236.226,3.692,0,3,43.35,0,18,ChEMBL23,True
CHEMBL1929523,-7.388,0.516,c1ccc2c(c1)c1c(o2)ccc2c1ccc(=O)o2,Pairs,BP1,BP1_candidates.xlsx,True,O=c1ccc2c(ccc3oc4ccccc4c32)o1,O=c1ccc2c(ccc3oc4ccccc4c32)o1,236.226,3.692,0,3,43.35,0,18,ChEMBL23,True
CHEMBL271516,-7.036,0.815,c1c(cc2c(c1)c(cc(=O)o2)CCl)O,Pattern,BP1,BP1_candidates.xlsx,True,O=c1cc(CCl)c2ccc(O)cc2o1,O=c1cc(CCl)c2ccc(O)cc2o1,210.616,2.237,1,3,50.44,1,14,ChEMBL23,True
CHEMBL32810,-6.759,0.95,c1c(c2c(oc1=O)cc(cc2)O)O,RDK,BP1,BP1_candidates.xlsx,True,O=c1cc(O)c2ccc(O)cc2o1,O=c1cc(O)c2ccc(O)cc2o1,178.143,1.204,2,4,70.67,0,13,ChEMBL23,True
CHEMBL329500,-7.27,0.913,c12oc(cc(=O)c1ccc1c2cc(cc1)O)c1ccccc1,Rdmaccs,BP1,BP1_candidates.xlsx,True,O=c1cc(-c2ccccc2)oc2c1ccc1ccc(O)cc12,O=c1cc(-c2ccccc2)oc2c1ccc1ccc(O)cc12,288.302,4.319,1,3,50.44,1,22,ChEMBL23,True
CHEMBL3409185,-7.206,0.571,c1cccc2c1oc(c2)c1c(c(c(c(c1)O)O)O)Br,Torsions,BP1,BP1_candidates.xlsx,True,Oc1cc(-c2cc3ccccc3o2)c(Br)c(O)c1O,Oc1cc(-c2cc3ccccc3o2)c(Br)c(O)c1O,321.126,3.979,3,4,73.83,1,19,ChEMBL23,True
DB07118,-6.967,0.704,c1cc(cc2oc(=O)cc(C)c12)O,Avalon,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,DrugBank,True
DB03623,-7.328,0.316,c12c(ccnc1)ccc1c2cc(cn1)c1ccc(cc1)O,FCFP,BP1,BP1_candidates.xlsx,True,Oc1ccc(-c2cnc3ccc4ccncc4c3c2)cc1,Oc1ccc(-c2cnc3ccc4ccncc4c3c2)cc1,272.307,4.156,1,3,46.01,1,21,DrugBank,True
DB07118,-6.967,0.429,c1cc(cc2oc(=O)cc(C)c12)O,Morgan,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,DrugBank,True
DB04641,-7.11,0.424,OC(=O)c1c(O)cc2ccc(O)cc2c1,Pairs,BP1,BP1_candidates.xlsx,True,O=C(O)c1cc2cc(O)ccc2cc1O,O=C(O)c1cc2cc(O)ccc2cc1O,204.181,1.949,3,3,77.76,1,15,DrugBank,True
DB04641,-7.11,0.653,OC(=O)c1c(O)cc2ccc(O)cc2c1,Pattern,BP1,BP1_candidates.xlsx,True,O=C(O)c1cc2cc(O)ccc2cc1O,O=C(O)c1cc2cc(O)ccc2cc1O,204.181,1.949,3,3,77.76,1,15,DrugBank,True
DB07118,-6.967,0.645,c1cc(cc2oc(=O)cc(C)c12)O,RDK,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,DrugBank,True
