pocket,compound_id,desalted_smiles,source_database,best_docking_score_kcal_mol,median_docking_score_kcal_mol,max_tanimoto_to_reference,fingerprint_methods,observation_count,original_smiles,canonical_smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,passes_lipinski_light
BP1,251157,Cc1c(O)c2ccc3ccccc3c2oc1=O,numeric library ID,-7.396,-7.396,0.88,Avalon;FCFP;RDK;Rdmaccs,4,c1cccc2c1ccc1c2oc(=O)c(c1O)C,Cc1c(O)c2ccc3ccccc3c2oc1=O,226.231,2.96,1,3,50.44,0,17,True
BP1,ZINC000103969950,Cc1c(O)c2ccc3ccccc3c2oc1=O,ZINC15,-7.396,-7.396,0.88,Avalon;Rdmaccs,2,Cc1c(O)c2ccc3ccccc3c2oc1=O,Cc1c(O)c2ccc3ccccc3c2oc1=O,226.231,2.96,1,3,50.44,0,17,True
BP1,CHEMBL1929523,O=c1ccc2c(ccc3oc4ccccc4c32)o1,ChEMBL23,-7.388,-7.388,0.6,FCFP;Morgan;Pairs,3,c1ccc2c(c1)c1c(o2)ccc2c1ccc(=O)o2,O=c1ccc2c(ccc3oc4ccccc4c32)o1,236.226,3.692,0,3,43.35,0,18,True
BP1,CHEMBL3306562,N#Cc1c(O)c2cc3ccccc3cc2oc1=O,ChEMBL23,-7.338,-7.338,0.75,Avalon,1,c1c2c(cc3c1cccc3)c(c(c(=O)o2)C#N)O,N#Cc1c(O)c2cc3ccccc3cc2oc1=O,237.214,2.523,1,4,74.23,0,18,True
BP1,DB03623,Oc1ccc(-c2cnc3ccc4ccncc4c3c2)cc1,DrugBank,-7.328,-7.328,0.316,FCFP,1,c12c(ccnc1)ccc1c2cc(cn1)c1ccc(cc1)O,Oc1ccc(-c2cnc3ccc4ccncc4c3c2)cc1,272.307,4.156,1,3,46.01,1,21,True
BP1,MolPort-002-367-171,Cc1c(C)c2ccc(O)cc2oc1=O,MolPort,-7.327,-7.327,0.846,Rdmaccs,1,Cc1c(C)c2ccc(O)cc2oc1=O,Cc1c(C)c2ccc(O)cc2oc1=O,190.198,2.115,1,3,50.44,0,14,True
BP1,CHEMBL329500,O=c1cc(-c2ccccc2)oc2c1ccc1ccc(O)cc12,ChEMBL23,-7.27,-7.27,0.913,Rdmaccs,1,c12oc(cc(=O)c1ccc1c2cc(cc1)O)c1ccccc1,O=c1cc(-c2ccccc2)oc2c1ccc1ccc(O)cc12,288.302,4.319,1,3,50.44,1,22,True
BP1,PEY,c1ccc2c(c1)ccc1ccccc12,PDB ligand,-7.242,-7.242,0.659,Pattern,1,c1cccc2c1c1c(cc2)cccc1,c1ccc2c(c1)ccc1ccccc12,178.234,3.993,0,0,0.0,0,14,True
BP1,HMDB34138,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,HMDB,-7.241,-7.241,0.786,FCFP;Morgan;RDK;Rdmaccs,4,OC1=CC2=C(C=C1)C1=C(C3=C(O)C=C(O)C=C3O1)C(=O)O2,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,284.223,2.809,3,6,104.04,0,21,True
BP1,19824,CC1(C)c2ccccc2-c2nc3ccccc3cc2C1O,numeric library ID,-7.229,-7.229,0.282,FCFP,1,n1c2c3ccccc3C(C(c2cc2c1cccc2)O)(C)C,CC1(C)c2ccccc2-c2nc3ccccc3cc2C1O,275.351,4.226,1,2,33.12,0,21,True
BP1,CHEMBL3409185,Oc1cc(-c2cc3ccccc3o2)c(Br)c(O)c1O,ChEMBL23,-7.206,-7.206,0.571,Torsions,1,c1cccc2c1oc(c2)c1c(c(c(c(c1)O)O)O)Br,Oc1cc(-c2cc3ccccc3o2)c(Br)c(O)c1O,321.126,3.979,3,4,73.83,1,19,True
BP1,HMDB32713,Oc1ccc(-c2cc(O)cc(O)c2)cc1,HMDB,-7.148,-7.148,0.66,Pattern,1,OC1=CC=C(C=C1)C1=CC(O)=CC(O)=C1,Oc1ccc(-c2cc(O)cc(O)c2)cc1,202.209,2.47,3,3,60.69,1,15,True
BP1,HMDB59798,Oc1ccc2c(ccc3ccccc32)c1,HMDB,-7.118,-7.118,0.432,Pairs,1,OC1=CC=C2C(C=CC3=CC=CC=C23)=C1,Oc1ccc2c(ccc3ccccc32)c1,194.233,3.699,1,1,20.23,0,15,True
BP1,DB04641,O=C(O)c1cc2cc(O)ccc2cc1O,DrugBank,-7.11,-7.11,0.704,Pairs;Pattern;Rdmaccs,3,OC(=O)c1c(O)cc2ccc(O)cc2c1,O=C(O)c1cc2cc(O)ccc2cc1O,204.181,1.949,3,3,77.76,1,15,True
BP1,10510606,O=c1c2ccccc2oc2cc(O)cc(O)c12,numeric library ID,-7.092,-7.092,0.514,Morgan,1,Oc1cc(O)c2c(c1)oc1ccccc1c2=O,O=c1c2ccccc2oc2cc(O)cc(O)c12,228.203,2.357,2,4,70.67,0,17,True
BP1,MolPort-006-318-916,O=c1c2ccccc2oc2cc(O)cc(O)c12,MolPort,-7.092,-7.092,0.514,Morgan,1,Oc1cc(O)c2c(oc3ccccc3c2=O)c1,O=c1c2ccccc2oc2cc(O)cc(O)c12,228.203,2.357,2,4,70.67,0,17,True
BP1,ZINC000006117594,O=c1c2ccccc2oc2cc(O)cc(O)c12,ZINC15,-7.092,-7.092,0.514,Morgan,1,O=c1c2ccccc2oc2cc(O)cc(O)c12,O=c1c2ccccc2oc2cc(O)cc(O)c12,228.203,2.357,2,4,70.67,0,17,True
BP1,SCHEMBL15388250,Cc1ccc2c(=O)oc3cc(O)ccc3c2c1,SureChEMBL,-7.072,-7.072,0.957,Rdmaccs,1,c12oc(=O)c3c(c1ccc(c2)O)cc(cc3)C,Cc1ccc2c(=O)oc3cc(O)ccc3c2c1,226.231,2.96,1,3,50.44,0,17,True
BP1,LSM-3723,O=C1c2ccccc2-c2cccc3cccc1c23,LINCS,-7.064,-7.064,0.393,Pairs,1,O=C1c2ccccc2c3cccc4cccc1c34,O=C1c2ccccc2-c2cccc3cccc1c23,230.266,4.051,0,1,17.07,0,18,True
BP1,402797,Cc1cc(=O)oc2cc(O)cc(O)c12,numeric library ID,-7.062,-7.062,0.788,Pattern,1,Cc1c2c(cc(cc2O)O)oc(=O)c1.*C,*C.Cc1cc(=O)oc2cc(O)cc(O)c12,192.17,1.513,2,4,70.67,0,14,True
BP1,MolPort-000-744-145,Cc1cc(=O)oc2cc(O)cc(O)c12,MolPort,-7.062,-7.062,0.649,FCFP;RDK,2,Cc1cc(=O)oc2cc(O)cc(O)c12,Cc1cc(=O)oc2cc(O)cc(O)c12,192.17,1.513,2,4,70.67,0,14,True
