desalted_smiles,compound_ids,source_databases,BP1,BP2,ensemble_best_score_kcal_mol,ensemble_mean_score_kcal_mol,observed_pocket_count,rank_ensemble_best,rank_ensemble_mean,max_tanimoto_to_reference,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,passes_lipinski_light
Oc1cc(-c2nc3ccccc3o2)c(O)cc1-c1nc2ccccc2o1,746361,numeric library ID,,-9.116,-9.116,-9.116,1,1,1,0.441,344.326,4.714,2,6,92.52,2,26,True
Cc1ccccc1N=Nc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,3543,numeric library ID,,-9.093,-9.093,-9.093,1,2,2,0.265,380.451,7.993,1,5,69.67,4,29,False
Cc1cc(=O)oc2cc(O)cc(OCc3ccccc3)c12,118810,numeric library ID,,-8.495,-8.495,-8.495,1,3,3,0.694,282.295,3.386,1,4,59.67,3,21,True
O=C(Nc1ccc(Cl)cc1)c1cc2c(cc1O)[nH]c1ccccc12,50651,numeric library ID,,-8.307,-8.307,-8.307,1,4,4,0.241,336.778,4.932,3,2,65.12,2,24,True
O=C(NNC(=O)c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,MolPort-002-321-924,MolPort,,-8.303,-8.303,-8.303,1,5,5,0.562,408.322,1.385,4,8,159.08,2,30,True
O=c1oc2ccccc2c(O)c1C(c1cccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)c1)c1c(O)c2ccccc2oc1=O,686393;CHEMBL392451,ChEMBL23;numeric library ID,,-8.211,-8.211,-8.211,1,6,6,0.633,746.68,7.295,4,12,201.76,6,56,False
O=c1cc(-c2cc3ccccc3o2)c2cc(O)ccc2o1,CHEMBL1364708;MolPort-003-378-434,ChEMBL23;MolPort,,-8.175,-8.175,-8.175,1,7,7,0.475,278.263,3.912,1,4,63.58,1,21,True
O=c1cc(-c2cccc(O)c2)oc2c1ccc1ccccc12,4368550;CHEMBL1801014;ZINC000000057885,ChEMBL23;ZINC15;numeric library ID,,-8.141,-8.141,-8.141,1,8,8,0.913,288.302,4.319,1,3,50.44,1,22,True
COc1ccc(C(=O)O[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@]6(O)C[C@H](O)[C@@]7(O)[C@@H](CN8C[C@@H](C)CC[C@H]8[C@@]7(C)O)[C@]6(O)C[C@@]53O[C@@]24O)cc1OC,7524,numeric library ID,,-8.124,-8.124,-8.124,1,9,9,0.315,673.8,1.356,6,12,178.61,4,48,False
O=c1oc2cc3ccccc3cc2c2c1ccc1ccccc12,656562,numeric library ID,,-8.08,-8.08,-8.08,1,10,10,0.818,296.325,5.253,0,2,30.21,0,23,False
