pocket,ligand_name,compound_ids,source_databases,desalted_smiles,old_best_docking_score_kcal_mol,conf00_base,conf01_mode1_minus,conf02_mode1_plus,conf03_mode2_minus,conf04_mode2_plus,ensemble_best_score_kcal_mol,ensemble_mean_score_kcal_mol,ensemble_std_score_kcal_mol,ensemble_range_score_kcal_mol,enopt_style_weighted_score_kcal_mol,rank_ensemble_best,rank_ensemble_mean,rank_enopt_style_weighted
BP1,BP1_10510606,10510606;MolPort-006-318-916;ZINC000006117594,MolPort;ZINC15;numeric library ID,O=c1c2ccccc2oc2cc(O)cc(O)c12,-7.092,-6.918,-6.898,-7.022,-7.018,-6.826,-7.022,-6.936400000000001,0.08364687680959779,0.19600000000000062,-6.9388024,20,20,20
BP1,BP1_1401,1401;4MU;529222;760397;DB07118;HMDB59622;LSM-3025,DrugBank;HMDB;LINCS;PDB ligand;numeric library ID,Cc1cc(=O)oc2cc(O)ccc12,-6.967,-6.729,-6.581,-6.748,-6.875,-6.55,-6.875,-6.696599999999999,0.13263973763544618,0.3250000000000002,-6.697125600000001,25,27,27
BP1,BP1_151252,151252,numeric library ID,O=C(O)c1cc2ccccc2c2cc(Br)ccc12,-7.043,-7.706,-7.227,-7.226,-7.738,-7.461,-7.738,-7.4716,0.24807922121773937,0.5120000000000005,-7.4613361000000005,3,4,4
BP1,BP1_19824,19824,numeric library ID,CC1(C)c2ccccc2-c2nc3ccccc3cc2C1O,-7.229,-7.621,-7.567,-7.576,-7.57,-7.612,-7.621,-7.5892,0.025331798199101578,0.05400000000000027,-7.588120300000001,4,3,3
BP1,BP1_251157,251157;ZINC000103969950,ZINC15;numeric library ID,Cc1c(O)c2ccc3ccccc3c2oc1=O,-7.396,-7.234,-7.256,-7.131,-7.21,-7.223,-7.256,-7.210800000000001,0.047693815112653706,0.125,-7.209735200000001,14,13,13
BP1,BP1_29698120,29698120;SCHEMBL2761833;ZINC000044672070,SureChEMBL;ZINC15;numeric library ID,O=c1cc(O)c2ccc(F)cc2o1,-6.856,-6.522,-6.452,-6.588,-6.58,-6.352,-6.588,-6.4988,0.09852512369949092,0.23599999999999977,-6.501326000000001,31,31,31
BP1,BP1_402797,402797;MolPort-000-744-145;ZINC000000058126,MolPort;ZINC15;numeric library ID,Cc1cc(=O)oc2cc(O)cc(O)c12,-7.062,-6.581,-6.459,-6.672,-6.705,-6.43,-6.705,-6.5694,0.12315559264605093,0.27500000000000036,-6.5710624000000015,30,30,30
BP1,BP1_4417258,4417258,numeric library ID,Cc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1,-6.954,-7.376,-7.125,-7.452,-7.363,-7.314,-7.452,-7.3260000000000005,0.1227701103689331,0.32699999999999996,-7.324883000000001,6,8,8
BP1,BP1_53845739,53845739;SCHEMBL13315779;ZINC000200389531,SureChEMBL;ZINC15;numeric library ID,C#Cc1cc(=O)oc2ccccc12,-6.98,-6.395,-6.349,-6.481,-6.496,-6.292,-6.496,-6.402600000000001,0.08665044720023102,0.20400000000000063,-6.4045397,33,33,33
BP1,BP1_5426,5426,numeric library ID,Cc1c2cc(O)c(=O)cc-2oc2cc(O)c(O)cc12,-6.757,-6.827,-6.62,-6.885,-6.92,-6.723,-6.92,-6.795,0.1230426755235759,0.2999999999999998,-6.7944044,23,24,24
BP1,BP1_54870284,54870284,numeric library ID,COc1ccc2c(=O)oc3cc(O)ccc3c2c1,-6.991,-6.963,-7.019,-6.974,-7.064,-6.999,-7.064,-7.0038,0.04009613447702907,0.10099999999999998,-7.003742900000001,19,18,18
BP1,BP1_62129,62129,numeric library ID,Oc1ccc2c(ccc3nc[nH]c32)c1,-6.945,-7.105,-7.087,-6.996,-7.0,-7.092,-7.105,-7.056,0.05337134062397147,0.10899999999999999,-7.054671700000001,18,17,17
BP1,BP1_CHEMBL1929523,CHEMBL1929523,ChEMBL23,O=c1ccc2c(ccc3oc4ccccc4c32)o1,-7.388,-7.36,-7.295,-7.375,-7.347,-7.202,-7.375,-7.3158,0.07038252624053798,0.17300000000000004,-7.3176906000000015,10,9,9
BP1,BP1_CHEMBL271516,CHEMBL271516;MolPort-000-422-134,ChEMBL23;MolPort,O=c1cc(CCl)c2ccc(O)cc2o1,-7.036,-6.564,-6.487,-6.73,-6.741,-6.434,-6.741,-6.591199999999999,0.13965564793448199,0.3069999999999995,-6.594101,28,29,29
BP1,BP1_CHEMBL32810,CHEMBL32810;MolPort-002-043-397;SCHEMBL11848480,ChEMBL23;MolPort;SureChEMBL,O=c1cc(O)c2ccc(O)cc2o1,-6.759,-6.341,-6.275,-6.357,-6.433,-6.302,-6.433,-6.3416,0.06040529778090652,0.15799999999999947,-6.3412062,34,35,35
BP1,BP1_CHEMBL329500,CHEMBL329500,ChEMBL23,O=c1cc(-c2ccccc2)oc2c1ccc1ccc(O)cc12,-7.27,-7.662,-7.657,-7.682,-7.782,-7.674,-7.782,-7.6914,0.05159263513332108,0.125,-7.690970300000001,2,1,1
BP1,BP1_CHEMBL3306562,CHEMBL3306562,ChEMBL23,N#Cc1c(O)c2cc3ccccc3cc2oc1=O,-7.338,-6.87,-6.878,-6.852,-6.774,-6.881,-6.881,-6.851000000000001,0.04449719092257404,0.1070000000000002,-6.851044000000002,24,21,21
