pocket,compound_id,desalted_smiles,source_database,best_docking_score_kcal_mol,median_docking_score_kcal_mol,max_tanimoto_to_reference,fingerprint_methods,observation_count,original_smiles,canonical_smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,passes_lipinski_light
BP1,251157,Cc1c(O)c2ccc3ccccc3c2oc1=O,numeric library ID,-7.396,-7.396,0.88,Avalon;FCFP;RDK;Rdmaccs,4,c1cccc2c1ccc1c2oc(=O)c(c1O)C,Cc1c(O)c2ccc3ccccc3c2oc1=O,226.231,2.96,1,3,50.44,0,17,True
BP1,ZINC000103969950,Cc1c(O)c2ccc3ccccc3c2oc1=O,ZINC15,-7.396,-7.396,0.88,Avalon;Rdmaccs,2,Cc1c(O)c2ccc3ccccc3c2oc1=O,Cc1c(O)c2ccc3ccccc3c2oc1=O,226.231,2.96,1,3,50.44,0,17,True
BP1,CHEMBL1929523,O=c1ccc2c(ccc3oc4ccccc4c32)o1,ChEMBL23,-7.388,-7.388,0.6,FCFP;Morgan;Pairs,3,c1ccc2c(c1)c1c(o2)ccc2c1ccc(=O)o2,O=c1ccc2c(ccc3oc4ccccc4c32)o1,236.226,3.692,0,3,43.35,0,18,True
BP1,CHEMBL3306562,N#Cc1c(O)c2cc3ccccc3cc2oc1=O,ChEMBL23,-7.338,-7.338,0.75,Avalon,1,c1c2c(cc3c1cccc3)c(c(c(=O)o2)C#N)O,N#Cc1c(O)c2cc3ccccc3cc2oc1=O,237.214,2.523,1,4,74.23,0,18,True
BP1,DB03623,Oc1ccc(-c2cnc3ccc4ccncc4c3c2)cc1,DrugBank,-7.328,-7.328,0.316,FCFP,1,c12c(ccnc1)ccc1c2cc(cn1)c1ccc(cc1)O,Oc1ccc(-c2cnc3ccc4ccncc4c3c2)cc1,272.307,4.156,1,3,46.01,1,21,True
BP1,MolPort-002-367-171,Cc1c(C)c2ccc(O)cc2oc1=O,MolPort,-7.327,-7.327,0.846,Rdmaccs,1,Cc1c(C)c2ccc(O)cc2oc1=O,Cc1c(C)c2ccc(O)cc2oc1=O,190.198,2.115,1,3,50.44,0,14,True
BP1,CHEMBL329500,O=c1cc(-c2ccccc2)oc2c1ccc1ccc(O)cc12,ChEMBL23,-7.27,-7.27,0.913,Rdmaccs,1,c12oc(cc(=O)c1ccc1c2cc(cc1)O)c1ccccc1,O=c1cc(-c2ccccc2)oc2c1ccc1ccc(O)cc12,288.302,4.319,1,3,50.44,1,22,True
BP1,PEY,c1ccc2c(c1)ccc1ccccc12,PDB ligand,-7.242,-7.242,0.659,Pattern,1,c1cccc2c1c1c(cc2)cccc1,c1ccc2c(c1)ccc1ccccc12,178.234,3.993,0,0,0.0,0,14,True
BP1,HMDB34138,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,HMDB,-7.241,-7.241,0.786,FCFP;Morgan;RDK;Rdmaccs,4,OC1=CC2=C(C=C1)C1=C(C3=C(O)C=C(O)C=C3O1)C(=O)O2,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,284.223,2.809,3,6,104.04,0,21,True
BP1,19824,CC1(C)c2ccccc2-c2nc3ccccc3cc2C1O,numeric library ID,-7.229,-7.229,0.282,FCFP,1,n1c2c3ccccc3C(C(c2cc2c1cccc2)O)(C)C,CC1(C)c2ccccc2-c2nc3ccccc3cc2C1O,275.351,4.226,1,2,33.12,0,21,True
BP2,746361,Oc1cc(-c2nc3ccccc3o2)c(O)cc1-c1nc2ccccc2o1,numeric library ID,-9.116,-9.116,0.441,Morgan,1,c1(c2cc(c(c3nc4c(o3)cccc4)cc2O)O)nc2c(o1)cccc2,Oc1cc(-c2nc3ccccc3o2)c(O)cc1-c1nc2ccccc2o1,344.326,4.714,2,6,92.52,2,26,True
BP2,3543,Cc1ccccc1N=Nc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,numeric library ID,-9.093,-9.093,0.265,FCFP;Morgan,2,CC1=C(C=CC=C1)N=NC1=CC(C)=C(C=C1)N=NC1=C(O)C=CC2=C1C=CC=C2,Cc1ccccc1N=Nc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,380.451,7.993,1,5,69.67,4,29,False
BP2,118810,Cc1cc(=O)oc2cc(O)cc(OCc3ccccc3)c12,numeric library ID,-8.495,-8.495,0.694,Avalon,1,O(c1c2c(oc(=O)cc2C)cc(c1)O)Cc1ccccc1,Cc1cc(=O)oc2cc(O)cc(OCc3ccccc3)c12,282.295,3.386,1,4,59.67,3,21,True
BP2,50651,O=C(Nc1ccc(Cl)cc1)c1cc2c(cc1O)[nH]c1ccccc12,numeric library ID,-8.307,-8.307,0.241,Morgan;Torsions,2,[nH]1c2cc(c(cc2c2c1cccc2)C(=O)Nc1ccc(Cl)cc1)O,O=C(Nc1ccc(Cl)cc1)c1cc2c(cc1O)[nH]c1ccccc12,336.778,4.932,3,2,65.12,2,24,True
BP2,MolPort-002-321-924,O=C(NNC(=O)c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,MolPort,-8.303,-8.303,0.562,FCFP,1,Oc1c(C(=O)NNC(=O)c2c(O)c3ccccc3oc2=O)c(=O)oc2ccccc12,O=C(NNC(=O)c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,408.322,1.385,4,8,159.08,2,30,True
BP2,686393,O=c1oc2ccccc2c(O)c1C(c1cccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)c1)c1c(O)c2ccccc2oc1=O,numeric library ID,-8.211,-8.211,0.633,FCFP,1,c1ccc2c(c1)oc(=O)c(c2O)C(c1c(=O)oc2c(c1O)cccc2)c1cccc(c1)C(c1c(c2ccccc2oc1=O)O)c1c(=O)oc2c(c1O)cccc2,O=c1oc2ccccc2c(O)c1C(c1cccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)c1)c1c(O)c2ccccc2oc1=O,746.68,7.295,4,12,201.76,6,56,False
